f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,target
0.510805556614443,0.510805556614443,0.489838307951082,0.063349378396104,0.013609168844067,0.001624038939173,0.014776113063512,0.066101667157661,0.240159755897966,0.004481816037632,0,0,1
0.512142663241413,0.512142663241413,0.491108506813995,0.063509082453041,0.013145586256836,0.001453531337111,0.014827302373058,0.066228604485599,0.241407267794803,0.004485930689277,0.395687214128438,1.44724420376136,1
0.51233495203026,0.51233495203026,0.491247799249558,0.063527508561585,0.013142810762394,0.001451906686899,0.014864325897813,0.066256402039123,0.24154520115314,0.00448947910572,0.456395525026557,1.51346902162332,1
0.512217467693609,0.512217467693609,0.491190637781922,0.063527257941236,0.013156031694308,0.00147251254204,0.014821383962329,0.066245543945114,0.241487769618222,0.004488412060983,0.631705773638102,1.71953334121357,1
0.512172024950027,0.512172024950027,0.491220427692694,0.063535091770304,0.013160880540055,0.001468553397901,0.014767721675937,0.066267028711474,0.241515448795688,0.004491339219266,0.610774961940045,1.6928389696502,1
0.511887399517229,0.511887399517229,0.490850822356303,0.063476044924721,0.013151201278881,0.001456022819611,0.014828847304583,0.066197408653906,0.241154277923766,0.004482016059028,0.347745906103744,1.28414812824599,1
0.512142663241413,0.512142663241413,0.491108506813995,0.063509082453041,0.013145586256836,0.001453531337111,0.014827302373058,0.066228604485599,0.241407267794803,0.004485930689277,0.395687214128438,1.44724420376136,1
0.51233495203026,0.51233495203026,0.491247799249558,0.063527508561585,0.013142810762394,0.001451906686899,0.014864325897813,0.066256402039123,0.24154520115314,0.00448947910572,0.456395525026557,1.51346902162332,1
0.636087062519229,0.636087062519229,0.610410951002089,0.078942674620659,0.017089501432643,0.002054694515425,0.018096681470239,0.082330231337926,0.372928800656923,0.006957346934837,1.29758335585254,1.04385729710866,1
0.638080422642158,0.638080422642158,0.612354405449291,0.079187584535094,0.016598356920534,0.001867811281247,0.018136207753305,0.082537105127259,0.375306620623472,0.006974339613203,1.432748474264,1.53559664867926,1
0.638880383835107,0.638880383835107,0.612878160201844,0.07925583947706,0.016594955795279,0.001868502815686,0.018329685917766,0.082634781856576,0.375955392653317,0.006990091277456,1.43132711716952,1.5793302660832,1
0.638205684919409,0.638205684919409,0.612509088778036,0.079211894953987,0.016630439146001,0.001881469929502,0.01811499709295,0.082564892296649,0.375495318186631,0.006979916922147,1.42870038927992,1.6073314149736,1
0.637021567803062,0.637021567803062,0.611336157862132,0.079058351467762,0.016585785022308,0.001874397259819,0.018107218699431,0.082405911469045,0.374059550697749,0.006952643605766,1.41019113656878,1.53496699626244,1
0.637219467265163,0.637219467265163,0.611447159792558,0.079070967959442,0.016565720833973,0.001864109571153,0.0181684378863,0.08242223111775,0.374197501292191,0.006954623552803,1.43151653588991,1.54793391195341,1
0.638080422642158,0.638080422642158,0.612354405449291,0.079187584535094,0.016598356920534,0.001867811281247,0.018136207753305,0.082537105127259,0.375306620623472,0.006974339613203,1.432748474264,1.53559664867926,1
0.638880383835107,0.638880383835107,0.612878160201844,0.07925583947706,0.016594955795279,0.001868502815686,0.018329685917766,0.082634781856576,0.375955392653317,0.006990091277456,1.43132711716952,1.5793302660832,1
0.494679557943476,0.494679557943476,0.474572732423133,0.061381251850474,0.013103144082612,0.001557844888938,0.014170311180088,0.064014867197815,0.225419942213353,0.004201297220164,1.86266955401453,1.26067828310173,1
0.495807567125245,0.495807567125245,0.475451590372345,0.061492220826005,0.012707593627229,0.001412627439456,0.014348280982436,0.064122436653364,0.226259950705965,0.004204641703453,2.11339318939814,1.72078498016089,1
0.496103380770816,0.496103380770816,0.475814106374547,0.061539505321198,0.012729821407992,0.001417507627361,0.01430160278516,0.064165291722753,0.226603463310005,0.004210613270581,2.2047756897596,1.8310292115718,1
0.496007080111186,0.496007080111186,0.475628492694832,0.061509286069898,0.01270031032604,0.001395988330998,0.014364347123497,0.064143844530479,0.22642865997513,0.004207156793676,2.13687312254501,1.9755577988136,1
0.495539734462788,0.495539734462788,0.475137013313619,0.061442254997962,0.012676192739416,0.001394901334593,0.014382594296548,0.064060254002607,0.225961902533272,0.004196006736197,2.05019111067297,1.98377219697909,1
0.495582716869789,0.495582716869789,0.475383956297986,0.061482373148415,0.012692232943653,0.001404450044298,0.01423827901621,0.064092233639842,0.226192499342476,0.004200443616491,2.00135448719306,1.6837377676488,1
0.495807567125245,0.495807567125245,0.475451590372345,0.061492220826005,0.012707593627229,0.001412627439456,0.014348280982436,0.064122436653364,0.226259950705965,0.004204641703453,2.11339318939814,1.72078498016089,1
0.496103380770816,0.496103380770816,0.475814106374547,0.061539505321198,0.012729821407992,0.001417507627361,0.01430160278516,0.064165291722753,0.226603463310005,0.004210613270581,2.2047756897596,1.8310292115718,1
0.620107992122441,0.620107992122441,0.595238128095788,0.076987778331355,0.016446482589549,0.001950484311138,0.017528361182918,0.080263744049831,0.354615467755773,0.006605384254984,1.65765697302414,1.62272846136333,1
0.620787363903664,0.620787363903664,0.59569823663637,0.077043090724453,0.015947730765656,0.001773368711765,0.017686120672091,0.080306603785049,0.355168979463533,0.006595994884538,1.84414932537539,2.01855776821832,1
0.620854203464862,0.620854203464862,0.595739354315015,0.077048696950981,0.015970311365015,0.001779352454149,0.017704035285845,0.080316441811411,0.355218602189829,0.006598269489921,1.9859185142117,1.98887425861928,1
0.621211642469548,0.621211642469548,0.59601846043241,0.077071053524889,0.01595862838797,0.001743132660501,0.017759250202201,0.080347481547481,0.355553185883319,0.006602800314531,1.88987022831074,2.12055623939294,1
